,title_clean,img_count,has_form,has_login_form,has_js,js_include_b64,nb_tokens,text_clean,classification,nb_title_entities,nb_text_entities,bank_of_america,wells_fargo,citibank,apple,microsoft,amazon,google,facebook,dhl,youtube,whatsapp,linkedin,twitter
0,one drive,1,0,0,1,0,31,one drive read document please choose email provider login view shared file login office 365 login outlook login mail get file anywhere device share anyone one drive shared document one loud,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,6,1,1,0,0,7,gjin.jung samsung.com 3c 95338 2017 icp08034243 44030502003091,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,email security : : user account,0,1,1,1,0,19,email security user account verification needed upgrade email quota 25gb upgrade account -- -- -- -- email setting --,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,sign in to your account,4,1,1,0,0,14,sign account nobody mycraftmail.com enter password forgot password 2018 microsoft term use privacy cooky,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,worldclient,2,1,1,1,0,13,worldclient microsoft office verification portal email address password windows/worldclient v16.5.3 2020 office technology,malicious,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,plantronics manager,0,1,1,1,0,18,plantronics manager 2019 plantronics inc. right reserved plantronics manager pro sign email password sign forgot password privacy term,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,,6,1,1,0,0,7,lebron zhang vwr.com 3c 95338 2017 icp08034243 44030502003091,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,7,1,1,1,0,8,english 2017213 idcapslock copyright rakuten inc. right reserved,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,enter your password,3,1,1,1,0,17,enter password emailprotected enter password password required keep signed forgot password 2020 microsoft term use privacy cooky,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,docusign,6,1,1,1,0,39,docusign 173 help view approved document email address password login select email provider office365 nederlandse english franais deutsch italiano portugus portugal portugus brasil espaol english u term use| support| feedback| intellectual property| privacy policycopyright 2018 docusign inc. right reserved,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,,6,1,1,0,0,7,vivian.wu reginachain.net 3c 95338 2017 icp08034243 44030502003091,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,sign in,2,1,1,0,0,8,sign remember use token forgot username/password enrolled sign,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"insurance , banking , investment & retirement | usaa",2,1,1,1,0,40,warning simplexml load file   www.geoplugin.net/xml.gp ip=54.71.187.124 function.simplexml-load-file failed open stream  request failed /1.1 403 forbidden /home/wsiteslo/public html/administrator/usaa/donketyru/snnimoou/vets/phish.php line 9 warning simplexml load file function.simplexml-load-file i/o warning failed load external entity ``   www.geoplugin.net/xml.gp ip=54.71.187.124 '' /home/wsiteslo/public html/administrator/usaa/donketyru/snnimoou/vets/phish.php line 9 insurance banking investment retirement usaa,malicious,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,one drive cloud document sharing,0,0,0,1,0,40,one drive cloud document sharing read document please choose email provider login view shared file login google login outlook login aol login yahoo login office 365 login mail get file anywhere device share anyone one drive shared document one cloud,malicious,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,sharing link validation,3,1,1,1,0,40,sharing validation onedrive enter password 've received folder requires password report open content enter password n't password ask person shared content sharing ha password set need enter password access content password required password incorrect checking ... 2017 microsoft privacy cooky,malicious,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,one drive cloud document sharing,0,0,0,1,0,40,one drive cloud document sharing read document please choose email provider login view shared file login google login outlook login aol login yahoo login office 365 login mail get file anywhere device share anyone one drive shared document one cloud,malicious,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,amazon,0,1,1,1,0,10,amazon .co.jp e amazon 1996 2019 mazon com inc. affiliate,malicious,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
